Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Number of Iterations,Battery Consumption,Number of Ground Contacts,Number of Engine Failures,Number of Mission Failures
0.094,0.029,0.005,0.886,x,0.0,0.0,9.80665,0.407,0.513,0.018,14.0,9.2,16.5,3.3,7.4,0.4,878,0.20809080000000013,1,0,0
0.065,0.031,0.008,0.035,x,0.0,0.0,9.80665,0.032,0.619,0.466,6.8,3.2,11.2,8.9,3.4,7.9,881,0.1837080000000001,1,0,0
0.017,0.046,0.005,0.768,x,0.0,0.0,9.80665,0.215,0.326,0.51,7.4,1.5,1.5,1.2,3.8,6.3,870,0.18333474000000016,1,0,0
0.073,0.035,0.002,0.341,+,0.0,0.0,9.80665,0.309,0.399,0.551,19.9,0.3,19.6,9.9,4.5,7.0,724,0.3466965000000001,52,0,0
0.083,0.066,0.009,0.445,x,0.0,0.0,9.80665,0.485,0.347,0.357,9.8,15.5,10.4,8.8,3.3,8.2,816,0.20075145000000016,1,0,0
0.035,0.025,0.003,0.847,x,0.0,0.0,9.80665,0.042,0.363,0.63,1.9,13.0,19.8,2.2,5.7,5.2,855,0.19265386000000018,1,0,0
0.023,0.037,0.009,0.33,x,0.0,0.0,9.80665,0.411,0.33,0.477,3.9,7.8,18.5,2.5,1.2,0.5,807,0.17954480000000006,1,0,0
0.026,0.075,0.003,0.344,+,0.0,0.0,9.80665,0.266,0.452,0.141,4.3,13.1,0.2,8.2,0.9,1.1,831,0.18939665000000017,1,0,0
0.042,0.084,0.007,0.57,x,0.0,0.0,9.80665,0.474,0.277,0.328,9.7,6.1,13.7,7.3,3.5,4.6,817,0.1848797000000002,1,0,0
0.068,0.006,0.002,0.862,+,0.0,0.0,9.80665,0.282,0.136,0.459,11.2,6.5,6.3,1.1,7.4,7.7,826,0.18637004000000013,1,0,0
0.082,0.075,0.009,0.754,+,0.0,0.0,9.80665,0.315,0.385,0.314,18.2,0.5,1.8,4.6,9.2,0.2,819,0.23165870000000022,8,0,0
0.022,0.016,0.001,0.452,+,0.0,0.0,9.80665,0.178,0.43,0.192,16.4,17.3,12.5,3.4,5.2,6.1,812,0.4080411500000001,61,0,0
0.039,0.075,0.009,0.238,x,0.0,0.0,9.80665,0.108,0.085,0.647,11.1,10.7,3.4,4.8,8.1,5.9,813,0.18543544000000012,1,0,0
0.041,0.083,0.003,0.799,+,0.0,0.0,9.80665,0.582,0.037,0.422,11.6,18.6,9.0,9.5,2.4,5.0,800,0.3606253600000001,47,0,0
0.014,0.027,0.005,0.106,+,0.0,0.0,9.80665,0.175,0.306,0.492,0.1,12.2,8.4,1.6,1.3,7.0,835,0.19358330000000024,1,0,0
0.02,0.039,0.003,0.529,+,0.0,0.0,9.80665,0.602,0.575,0.203,11.0,5.4,8.5,9.0,9.2,9.7,814,0.18596515000000013,1,0,0
