Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Number of Iterations,Battery Consumption,Number of Ground Contacts,Number of Engine Failures,Number of Mission Failures
0.01,0.128,0.0512,0.16,x,0.0,0.0,9.80665,0.65,0.65,0.65,20.0,1.0,20.0,10.0,1.0,1.0,529,0.3377198000000001,58,0,0
0.01,0.128,0.0512,0.01,+,0.0,0.0,9.80665,0.0,0.2,0.0,10.0,1.0,0.0,1.0,0.0,0.0,805,0.1882410000000001,1,0,0
0.01,0.001,0.1024,0.64,+,0.0,0.0,9.80665,0.0,0.2,0.2,10.0,10.0,1.0,0.0,10.0,10.0,832,0.18988740000000015,1,0,0
0.64,0.016,0.1024,0.01,+,0.0,0.0,9.80665,0.4,0.0,0.2,0.0,10.0,20.0,0.0,0.0,1.0,855,0.19385510000000006,1,0,0
0.16,0.128,0.0128,0.64,x,0.0,0.0,9.80665,0.65,0.0,0.65,10.0,0.0,10.0,1.0,10.0,0.0,817,0.18541770000000024,1,0,0
0.64,0.016,0.0001,0.01,+,0.0,0.0,9.80665,0.21523,0.2,0.0,0.0,0.0,20.0,1.0,1.0,10.0,809,0.1843994000000001,2,0,0
0.64,0.016,0.0512,0.16,+,0.0,0.0,9.80665,0.4,0.0,0.65,20.0,1.0,10.0,1.0,0.0,1.0,805,0.38249310000000014,54,0,0
0.16,0.001,0.0001,1.28,+,0.0,0.0,9.80665,0.65,0.2,0.2,1.0,10.0,1.0,10.0,1.0,0.0,825,0.18903470000000022,1,0,0
0.16,0.128,0.1024,0.16,x,0.0,0.0,9.80665,0.4,0.65,0.0,1.0,10.0,20.0,0.0,1.0,0.0,807,0.18077025000000013,1,0,0
1.28,0.001,0.0016,0.64,+,0.0,0.0,9.80665,0.0,0.0,0.2,0.0,1.0,10.0,1.0,10.0,1.0,822,0.18741340000000017,1,0,0
1.28,0.001,0.0001,0.64,x,0.0,0.0,9.80665,0.21523,0.0,0.0,10.0,1.0,1.0,0.0,10.0,10.0,835,0.18684080000000014,1,0,0
0.16,0.128,0.0016,1.28,x,0.0,0.0,9.80665,0.0,0.2,0.2,20.0,0.0,10.0,0.0,10.0,0.0,781,0.37046984000000016,52,0,0
