Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Error Type
0.251,0.519,0.024,0.861,+,0.0,0.0,9.80665,0.38,0.571,0.462,8.4,19.7,10.5,4.8,5.2,5.0,Gyro fail
0.093,0.515,0.042,0.663,x,0.0,0.0,9.80665,0.196,0.525,0.321,12.6,2.2,9.3,9.4,0.6,9.5,Gyro fail
0.785,0.722,0.066,0.508,x,0.0,0.0,9.80665,0.411,0.041,0.027,8.5,8.7,1.9,9.6,2.4,0.7,Arming
0.261,0.372,0.087,0.823,+,0.0,0.0,9.80665,0.251,0.626,0.179,19.8,14.1,14.0,6.8,9.5,0.4,Landing
0.403,0.006,0.033,0.424,+,0.0,0.0,9.80665,0.146,0.087,0.605,4.7,10.0,14.0,1.9,8.7,6.4,Gyro fail
0.276,0.333,0.039,0.046,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,5.6,6.1,17.2,9.9,9.3,5.3,Arming hangs
0.026,0.043,0.034,0.054,x,0.0,0.0,9.80665,0.141,0.305,0.291,18.9,4.0,9.4,3.7,2.4,4.2,Arming hangs
0.329,0.081,0.052,0.817,x,0.0,0.0,9.80665,0.045,0.284,0.246,11.3,12.2,10.1,1.6,5.1,5.2,Arming hangs
0.32,0.876,0.084,0.072,+,0.0,0.0,9.80665,0.022,0.473,0.364,9.0,3.4,9.2,4.1,7.9,6.2,Gyro fail
0.403,0.232,0.088,0.117,x,0.0,0.0,9.80665,0.268,0.215,0.591,9.3,5.6,6.5,4.9,7.9,7.1,Gyro fail
0.793,0.302,0.079,0.534,x,0.0,0.0,9.80665,0.038,0.44,0.102,8.1,6.4,14.8,7.4,7.9,4.7,Gyro fail
0.274,0.128,0.044,0.272,+,0.0,0.0,9.80665,0.289,0.075,0.488,0.4,2.3,7.5,2.1,3.4,6.4,Arming hangs
0.894,0.321,0.064,0.231,+,0.0,0.0,9.80665,0.43,0.263,0.432,0.3,9.0,9.2,5.1,8.2,2.6,Arming
0.583,0.482,0.099,0.949,x,0.0,0.0,9.80665,0.562,0.642,0.063,6.8,1.0,1.7,2.0,6.0,5.3,Arming
0.881,0.435,0.077,0.763,x,0.0,0.0,9.80665,0.553,0.303,0.018,10.1,8.2,6.5,4.1,7.2,0.8,Gyro fail
0.308,0.67,0.048,0.277,+,0.0,0.0,9.80665,0.069,0.127,0.255,14.6,0.9,14.7,6.8,1.4,9.5,Arming
0.303,0.733,0.067,0.565,x,0.0,0.0,9.80665,0.472,0.091,0.138,14.9,19.1,19.4,3.8,0.8,3.0,Arming
0.146,0.726,0.074,0.121,+,0.0,0.0,9.80665,0.407,0.264,0.439,13.0,6.9,5.2,9.5,5.4,7.8,Takeoff
0.854,0.393,0.001,0.66,+,0.0,0.0,9.80665,0.464,0.016,0.539,15.8,7.3,15.9,7.1,3.5,2.5,Arming
0.093,0.422,0.032,0.833,x,0.0,0.0,9.80665,0.14,0.446,0.571,18.7,9.8,16.2,2.6,4.4,2.6,Landing
0.459,0.177,0.014,0.728,+,0.0,0.0,9.80665,0.562,0.009,0.547,6.5,18.5,17.1,7.8,3.0,2.5,Landing
0.21,0.05,0.081,0.621,x,0.0,0.0,9.80665,0.051,0.183,0.176,5.4,15.5,18.2,2.3,7.4,9.7,Arming
0.138,0.837,0.042,0.106,x,0.0,0.0,9.80665,0.423,0.614,0.086,1.4,19.8,10.0,3.4,3.0,6.2,Arming
0.86,0.269,0.025,0.69,+,0.0,0.0,9.80665,0.289,0.552,0.159,5.4,17.6,3.1,6.1,1.5,2.0,Arming
0.083,0.81,0.041,0.135,x,0.0,0.0,9.80665,0.495,0.101,0.472,5.5,7.0,9.1,8.2,7.5,5.5,Arming
0.744,0.1,0.069,0.221,x,0.0,0.0,9.80665,0.377,0.614,0.211,8.3,6.0,10.3,2.8,2.1,0.1,Arming
0.02,0.771,0.005,0.026,+,0.0,0.0,9.80665,0.282,0.189,0.37,1.1,19.3,14.2,3.5,9.0,2.1,Arming hangs
0.86,0.761,0.042,0.51,x,0.0,0.0,9.80665,0.472,0.174,0.277,4.1,15.0,10.4,5.5,1.7,1.6,Gyro fail
0.834,0.049,0.039,0.113,x,0.0,0.0,9.80665,0.095,0.167,0.601,14.9,14.8,18.9,2.2,1.9,7.0,Arming hangs
0.86,0.888,0.074,0.602,+,0.0,0.0,9.80665,0.326,0.553,0.407,19.3,1.3,18.1,1.5,0.6,8.9,Arming hangs
0.332,0.889,0.086,0.443,+,0.0,0.0,9.80665,0.591,0.469,0.073,4.3,19.4,10.4,5.5,0.8,1.2,Gyro fail
0.335,0.531,0.069,0.049,+,0.0,0.0,9.80665,0.519,0.047,0.563,3.1,5.3,11.7,6.4,0.3,9.4,Arming
0.232,0.857,0.003,0.459,+,0.0,0.0,9.80665,0.205,0.558,0.273,3.7,8.1,15.1,3.8,5.8,0.9,Arming
0.722,0.689,0.023,0.736,x,0.0,0.0,9.80665,0.352,0.619,0.349,15.3,10.4,13.8,5.9,3.3,1.2,Arming
0.703,0.715,0.061,0.382,x,0.0,0.0,9.80665,0.473,0.133,0.628,9.3,9.1,2.2,6.9,5.4,0.9,Arming
0.116,0.075,0.073,0.622,+,0.0,0.0,9.80665,0.326,0.075,0.393,4.9,10.1,17.3,1.1,0.7,5.4,Arming
0.655,0.454,0.076,0.649,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,1.4,17.4,12.0,8.2,0.4,0.7,Arming
0.747,0.122,0.039,0.725,+,0.0,0.0,9.80665,0.138,0.616,0.527,11.9,5.7,9.7,3.9,6.8,3.4,Arming
0.887,0.899,0.023,0.803,x,0.0,0.0,9.80665,0.186,0.04,0.422,7.7,15.7,17.1,9.9,7.1,7.0,Arming
